run_id,git_commit,dirty,scene,candidate,view,pos_x,pos_y,pos_z,target_x,target_y,target_z,up_x,up_y,up_z,focal,dir_x,dir_y,dir_z,screen_res,hit_fraction,median_hit_over_diagonal,p10_hit_over_diagonal,accepted,reject_reason,scene_diagonal
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,54,,-445.392578,316.829437,-92.870880,80.624802,-5.207143,-235.293976,0.000000,1.000000,0.000000,50.000,0.830994,-0.508748,-0.224998,64,1.00000,0.11752,0.10316,1,,1719.002808
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,55,,-585.403259,316.473541,-71.929581,231.256927,-110.107788,-116.216972,0.000000,1.000000,0.000000,50.000,0.885341,-0.462457,-0.048012,64,1.00000,0.19679,0.17785,1,,1719.002808
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,56,,-327.511597,338.066528,21.340004,22.994726,25.166016,-133.196594,0.000000,1.000000,0.000000,50.000,0.708646,-0.632616,-0.312439,64,1.00000,0.03275,0.02956,0,median hit distance too short,1719.002808
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,57,,-487.987610,371.068726,-0.142314,229.968964,35.239792,-123.691727,0.000000,1.000000,0.000000,50.000,0.894997,-0.418641,-0.154015,64,1.00000,0.00003,0.00002,0,median hit distance too short,1719.002808
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,58,,-345.500671,350.222137,-20.954897,68.962852,152.108032,-106.228394,0.000000,1.000000,0.000000,50.000,0.887072,-0.424021,-0.182510,64,1.00000,0.02324,0.00557,0,median hit distance too short,1719.002808
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,59,,-231.256317,-272.571747,-232.467590,2.620375,-65.876221,126.657227,0.000000,1.000000,0.000000,50.000,0.491537,0.434411,0.754771,64,1.00000,0.24037,0.08298,1,,1719.002808
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,60,,-234.247253,-211.914688,-230.524643,71.045555,0.233642,224.952988,0.000000,1.000000,0.000000,50.000,0.519261,0.360835,0.774704,64,1.00000,0.08880,0.07768,1,,1719.002808
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,61,,-185.114334,-255.081863,-230.571350,223.110840,-107.314896,145.238922,0.000000,1.000000,0.000000,50.000,0.710935,0.257340,0.654483,64,1.00000,0.31782,0.13088,1,,1719.002808
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,62,,-241.719116,-288.480347,-221.143478,83.183105,28.973135,119.538376,0.000000,1.000000,0.000000,50.000,0.572208,0.559089,0.599998,64,1.00000,0.00100,0.00078,0,median hit distance too short,1719.002808
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,63,,-229.745636,-190.119781,-232.774139,299.773651,31.922035,132.222900,0.000000,1.000000,0.000000,50.000,0.778271,0.326350,0.536461,64,1.00000,0.00028,0.00018,0,median hit distance too short,1719.002808
phase0_2026_09_01,fc3a28f,1,hairball.obj,0,A,-2.992759,-2.388834,-2.504398,-1.845039,-0.752879,-3.544760,0.000000,1.000000,0.000000,50.000,0.509421,0.726126,-0.461770,64,0.60571,0.09515,0.04766,1,,15.914934
phase0_2026_09_01,fc3a28f,1,hairball.obj,1,,-1.853252,-2.319292,-1.385718,-0.614873,-4.003486,-0.514925,0.000000,1.000000,0.000000,50.000,0.546844,-0.743708,0.384526,64,0.94507,0.00594,0.00544,0,median hit distance too short,15.914934
phase0_2026_09_01,fc3a28f,1,hairball.obj,2,,-2.202942,-0.489738,-2.807401,-0.162309,-0.130005,-0.245461,0.000000,1.000000,0.000000,50.000,0.619309,0.109175,0.777520,64,1.00000,0.04912,0.01613,0,median hit distance too short,15.914934
phase0_2026_09_01,fc3a28f,1,hairball.obj,3,,-2.667874,-0.077282,-1.974968,-1.706451,3.209263,-1.028664,0.000000,1.000000,0.000000,50.000,0.270623,0.925101,0.266367,64,0.99731,0.00630,0.00592,0,median hit distance too short,15.914934
phase0_2026_09_01,fc3a28f,1,hairball.obj,4,,-0.039200,-3.363435,-1.400428,-1.451179,1.103387,-0.748907,0.000000,1.000000,0.000000,50.000,-0.298530,0.944407,0.137749,64,1.00000,0.03693,0.01753,0,median hit distance too short,15.914934
phase0_2026_09_01,fc3a28f,1,hairball.obj,5,,-0.834456,-2.555866,-1.450009,-0.086462,0.168549,0.085879,0.000000,1.000000,0.000000,50.000,0.232605,0.847216,0.477618,64,1.00000,0.00617,0.00463,0,median hit distance too short,15.914934
phase0_2026_09_01,fc3a28f,1,hairball.obj,6,B,-0.746124,-1.054147,-4.077106,1.661885,-3.647074,-1.471058,0.000000,1.000000,0.000000,50.000,0.547937,-0.590014,0.593000,64,0.79639,0.08666,0.06288,1,,15.914934
phase0_2026_09_01,fc3a28f,1,hairball.obj,7,,-1.087555,-0.203030,-2.836939,1.704139,-1.686632,-1.092305,0.000000,1.000000,0.000000,50.000,0.773136,-0.410871,0.483162,64,0.99878,0.03435,0.02312,0,median hit distance too short,15.914934
phase0_2026_09_01,fc3a28f,1,hairball.obj,8,,-0.150781,-1.270800,-2.264861,0.430680,-0.804966,0.269829,0.000000,1.000000,0.000000,50.000,0.220090,0.176324,0.959411,64,1.00000,0.00665,0.00362,0,median hit distance too short,15.914934
phase0_2026_09_01,fc3a28f,1,hairball.obj,9,,-1.162823,-0.112430,-1.631680,2.077453,-0.637009,-0.463716,0.000000,1.000000,0.000000,50.000,0.930027,-0.150565,0.335230,64,1.00000,0.00278,0.00230,0,median hit distance too short,15.914934
phase0_2026_09_01,fc3a28f,1,hairball.obj,10,,-3.320244,-2.694760,-0.345334,1.965350,0.805743,-2.121669,0.000000,1.000000,0.000000,50.000,0.802818,0.531685,-0.269804,64,1.00000,0.04657,0.02183,0,median hit distance too short,15.914934
phase0_2026_09_01,fc3a28f,1,hairball.obj,11,,-2.098873,-2.550887,0.027011,0.348198,0.685892,-0.496586,0.000000,1.000000,0.000000,50.000,0.598110,0.791130,-0.127977,64,1.00000,0.03858,0.01953,0,median hit distance too short,15.914934
phase0_2026_09_01,fc3a28f,1,hairball.obj,12,,-2.847601,-1.917961,0.186609,0.411448,0.257166,0.561436,0.000000,1.000000,0.000000,50.000,0.827984,0.552606,0.095228,64,1.00000,0.04210,0.02626,0,median hit distance too short,15.914934
phase0_2026_09_01,fc3a28f,1,hairball.obj,13,,-1.783086,-2.217286,0.031612,0.049029,2.207549,0.539055,0.000000,1.000000,0.000000,50.000,0.380427,0.918789,0.105367,64,1.00000,0.01253,0.00995,0,median hit distance too short,15.914934
