run_id,git_commit,dirty,scene,triangles,view,matched_workload,rayset_hash,rays,variant,lambda,width,wide_nodes,wide_depth,changed_decisions,changed_decisions_pct,node_steps_per_ray,box_tests_per_ray,tri_tests_per_ray,node_steps_pct,box_tests_pct,tri_tests_pct,hits,correctness,mismatches,tie_ids,Wx,Wy,Wz,binary_nodes,binary_depth,source
w8_dir_2026_09_01,af0cb56,1,san-miguel.obj,9971513,A,1,11948788235775219164,262144,directional,0.2500,8,11930689,50,511672,2.5657,6.6081,41.6460,1.8895,1.523,-3.643,-1.128,259437,pass,0,0,0.936906,0.146721,0.267479,19943025,62,S-measured
w8_dir_2026_09_01,af0cb56,1,san-miguel.obj,9971513,B,0,9195041453402854932,262144,directional,0.2500,8,11930689,50,511672,2.5657,15.8092,117.3919,3.8487,-15.438,-16.498,-0.655,262144,pass,0,0,0.936906,0.146721,0.267479,19943025,62,S-measured
w8_dir_2026_09_01,af0cb56,1,san-miguel.obj,9971513,C,0,926090116047900570,262144,directional,0.2500,8,11930689,50,511672,2.5657,28.1545,215.7281,4.8308,1.722,1.786,0.112,262144,pass,0,0,0.936906,0.146721,0.267479,19943025,62,S-measured
w8_dir_2026_09_01,af0cb56,1,san-miguel.obj,9971513,A,1,11948788235775219164,262144,directional,0.5000,8,11937711,50,848772,4.2560,6.5992,42.3700,1.8862,1.386,-1.968,-1.301,259437,pass,0,0,0.936906,0.146721,0.267479,19943025,62,S-measured
w8_dir_2026_09_01,af0cb56,1,san-miguel.obj,9971513,B,0,9195041453402854932,262144,directional,0.5000,8,11937711,50,848772,4.2560,15.7485,116.8840,3.8451,-15.763,-16.860,-0.749,262144,pass,0,0,0.936906,0.146721,0.267479,19943025,62,S-measured
w8_dir_2026_09_01,af0cb56,1,san-miguel.obj,9971513,C,0,926090116047900570,262144,directional,0.5000,8,11937711,50,848772,4.2560,28.0792,215.0777,4.8288,1.450,1.479,0.069,262144,pass,0,0,0.936906,0.146721,0.267479,19943025,62,S-measured
w8_dir_2026_09_01,af0cb56,1,san-miguel.obj,9971513,A,1,11948788235775219164,262144,directional,0.7500,8,11950186,51,1105973,5.5457,6.5878,42.3514,1.8862,1.211,-2.011,-1.301,259437,pass,0,0,0.936906,0.146721,0.267479,19943025,62,S-measured
w8_dir_2026_09_01,af0cb56,1,san-miguel.obj,9971513,B,0,9195041453402854932,262144,directional,0.7500,8,11950186,51,1105973,5.5457,16.0061,118.2186,3.9057,-14.385,-15.910,0.816,262144,pass,0,0,0.936906,0.146721,0.267479,19943025,62,S-measured
w8_dir_2026_09_01,af0cb56,1,san-miguel.obj,9971513,C,0,926090116047900570,262144,directional,0.7500,8,11950186,51,1105973,5.5457,28.1924,215.9814,4.8289,1.859,1.905,0.073,262144,pass,0,0,0.936906,0.146721,0.267479,19943025,62,S-measured
w8_dir_2026_09_01,af0cb56,1,san-miguel.obj,9971513,A,1,11948788235775219164,262144,directional,1.0000,8,11969091,51,1326500,6.6514,6.5947,42.4071,1.8862,1.317,-1.882,-1.301,259437,pass,0,0,0.936906,0.146721,0.267479,19943025,62,S-measured
w8_dir_2026_09_01,af0cb56,1,san-miguel.obj,9971513,B,0,9195041453402854932,262144,directional,1.0000,8,11969091,51,1326500,6.6514,17.4397,129.2321,3.9168,-6.717,-8.076,1.103,262144,pass,0,0,0.936906,0.146721,0.267479,19943025,62,S-measured
w8_dir_2026_09_01,af0cb56,1,san-miguel.obj,9971513,C,0,926090116047900570,262144,directional,1.0000,8,11969091,51,1326500,6.6514,28.2601,216.4591,4.8318,2.103,2.131,0.132,262144,pass,0,0,0.936906,0.146721,0.267479,19943025,62,S-measured
