run_id,git_commit,dirty,scene,scene_sha256,builder,layout,mode,ray_set,ray_seed,rayset_hash,query_kind,ratio_bin,candidate_count,relevant_hit_count,false_positive_count,invalid_count,probe_node_steps,probe_prim_steps,probe_box_tests,probe_tri_tests,false_positive_node_steps,false_positive_prim_steps,false_positive_box_tests,false_positive_tri_tests,source_analytic,source_steps
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,binned_sah,bvh2/slot32_aos,robust,shadow_ao,B,10273955076000355927,any_occluder_in_range,q_40_50,128572,7056,121516,0,302484,262994,604968,262994,278175,246232,556350,246232,S-analytic,S-probe-counterfactual
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,binned_sah,bvh2/slot32_aos,robust,shadow_ao,B,10273955076000355927,any_occluder_in_range,q_50_60,97944,8316,89628,0,441441,247317,882882,247317,398083,223556,796166,223556,S-analytic,S-probe-counterfactual
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,binned_sah,bvh2/slot32_aos,robust,shadow_ao,B,10273955076000355927,any_occluder_in_range,q_60_70,123709,8087,115622,0,665846,317543,1331692,317543,599534,286234,1199068,286234,S-analytic,S-probe-counterfactual
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,binned_sah,bvh2/slot32_aos,robust,shadow_ao,B,10273955076000355927,any_occluder_in_range,q_70_80,129477,8298,121179,0,859017,369892,1718034,369892,773144,330805,1546288,330805,S-analytic,S-probe-counterfactual
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,binned_sah,bvh2/slot32_aos,robust,shadow_ao,B,10273955076000355927,any_occluder_in_range,q_80_90,140447,9693,130754,0,1109389,461433,2218778,461433,994463,412908,1988926,412908,S-analytic,S-probe-counterfactual
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,binned_sah,bvh2/slot32_aos,robust,shadow_ao,B,10273955076000355927,any_occluder_in_range,q_90_100,171030,14731,156299,0,1332163,526028,2664326,526028,1179761,457030,2359522,457030,S-analytic,S-probe-counterfactual
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,binned_sah,bvh2/slot32_aos,robust,shadow_ao,B,10273955076000355927,any_occluder_in_range,raw_gt_1,1011389,99556,911833,0,16774468,4198827,33548936,4198827,14056709,3293638,28113418,3293638,S-analytic,S-probe-counterfactual
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,binned_sah,bvh2/slot32_aos,robust,shadow_ao,B,10273955076000355927,any_occluder_in_range,invalid,0,0,0,0,0,0,0,0,0,0,0,0,S-analytic,S-probe-counterfactual
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,binned_sah,bvh2/slot32_aos,robust,diffuse_1,A,6850038901228734019,closest_improves_incumbent,q_00_10,4394,71,4323,0,1233,5451,2466,5451,1198,5349,2396,5349,S-analytic,S-probe-counterfactual
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,binned_sah,bvh2/slot32_aos,robust,diffuse_1,A,6850038901228734019,closest_improves_incumbent,q_10_20,2383,61,2322,0,3048,4885,6096,4885,2938,4741,5876,4741,S-analytic,S-probe-counterfactual
