run_id,scene,ray_distribution,score_a,score_b,win_rate_a,win_rate_b,delta,delta_ci_lo,delta_ci_hi,a_beats_b,bootstrap_resamples,bootstrap_seed,cluster_unit,cluster_population,pairing
e2e4_2026_09_02,hairball.obj,shadow_ao,fill_mean_clamp_a0,fill_min_clamp,0.581486,0.579324,0.002162,-0.004109,0.008762,inconclusive,1000,0xD1A70000D1A70000,ray,4518,paired
e2e4_2026_09_02,hairball.obj,shadow_ao,directional_mean_fill,fill_mean_clamp_a0,0.585743,0.581486,0.004257,0.000267,0.007953,yes,1000,0xD1A70000D1A70000,ray,4518,paired
e2e4_2026_09_02,hairball.obj,shadow_ao,directional_mean_fill,fill_mean_clamp_a05,0.585743,0.583446,0.002297,-0.000736,0.005564,inconclusive,1000,0xD1A70000D1A70000,ray,4518,paired
e2e4_2026_09_02,hairball.obj,shadow_ao,directional_mean_fill,fill_mean_clamp_a2,0.585743,0.586284,-0.000541,-0.005225,0.003854,inconclusive,1000,0xD1A70000D1A70000,ray,4518,paired
e2e4_2026_09_02,hairball.obj,shadow_ao,fill_mean_clamp_a0,surface_density,0.581486,0.580689,0.000798,-0.005145,0.006370,inconclusive,1000,0xD1A70000D1A70000,ray,4518,paired
e2e4_2026_09_02,intel-sponza.obj,diffuse_1,directional,box_projected_ratio,0.554432,0.461278,0.093154,0.065137,0.120208,yes,1000,0xD1A70000D1A70000,ray,9142,paired
e2e4_2026_09_02,intel-sponza.obj,diffuse_1,directional,surface_density,0.554432,0.540645,0.013787,-0.004644,0.031890,inconclusive,1000,0xD1A70000D1A70000,ray,9142,paired
e2e4_2026_09_02,intel-sponza.obj,diffuse_1,directional,primitive_count,0.554432,0.536712,0.017719,-0.013368,0.045262,inconclusive,1000,0xD1A70000D1A70000,ray,9142,paired
e2e4_2026_09_02,intel-sponza.obj,diffuse_1,directional_min_fill,directional_mean_fill,0.537101,0.554701,-0.017601,-0.040130,0.007903,inconclusive,1000,0xD1A70000D1A70000,ray,9142,paired
e2e4_2026_09_02,intel-sponza.obj,diffuse_1,directional_min_fill,box_projected_ratio,0.537101,0.461278,0.075823,0.047300,0.105780,yes,1000,0xD1A70000D1A70000,ray,9142,paired
e2e4_2026_09_02,intel-sponza.obj,diffuse_1,directional_mean_fill,box_projected_ratio,0.554701,0.461278,0.093424,0.064395,0.123305,yes,1000,0xD1A70000D1A70000,ray,9142,paired
e2e4_2026_09_02,intel-sponza.obj,diffuse_1,directional_mean_fill,directional,0.554701,0.554432,0.000270,-0.018632,0.020944,inconclusive,1000,0xD1A70000D1A70000,ray,9142,paired
e2e4_2026_09_02,intel-sponza.obj,diffuse_1,directional_min_fill,directional,0.537101,0.554432,-0.017331,-0.039857,0.008222,inconclusive,1000,0xD1A70000D1A70000,ray,9142,paired
e2e4_2026_09_02,intel-sponza.obj,diffuse_1,directional_mean_fill,surface_density,0.554701,0.540645,0.014057,-0.005900,0.032665,inconclusive,1000,0xD1A70000D1A70000,ray,9142,paired
e2e4_2026_09_02,intel-sponza.obj,diffuse_1,directional_mean_fill,primitive_count,0.554701,0.536712,0.017989,-0.012696,0.050360,inconclusive,1000,0xD1A70000D1A70000,ray,9142,paired
e2e4_2026_09_02,intel-sponza.obj,diffuse_1,directional_min_fill,surface_density,0.537101,0.540645,-0.003544,-0.030257,0.022490,inconclusive,1000,0xD1A70000D1A70000,ray,9142,paired
e2e4_2026_09_02,intel-sponza.obj,diffuse_1,directional_mean_fill,fill_mean_exp,0.554701,0.553735,0.000966,-0.013264,0.015385,inconclusive,1000,0xD1A70000D1A70000,ray,9142,paired
e2e4_2026_09_02,intel-sponza.obj,diffuse_1,fill_min_clamp,directional_min_fill,0.544411,0.537101,0.007310,-0.002618,0.016813,inconclusive,1000,0xD1A70000D1A70000,ray,9142,paired
e2e4_2026_09_02,intel-sponza.obj,diffuse_1,directional_mean_fill,fill_min_clamp,0.554701,0.544411,0.010290,-0.014552,0.035592,inconclusive,1000,0xD1A70000D1A70000,ray,9142,paired
e2e4_2026_09_02,intel-sponza.obj,diffuse_1,fill_mean_exp,directional_min_fill,0.553735,0.537101,0.016634,-0.002685,0.036315,inconclusive,1000,0xD1A70000D1A70000,ray,9142,paired
e2e4_2026_09_02,intel-sponza.obj,diffuse_1,fill_mean_clamp_a0,fill_min_clamp,0.546324,0.544411,0.001913,-0.020867,0.027116,inconclusive,1000,0xD1A70000D1A70000,ray,9142,paired
e2e4_2026_09_02,intel-sponza.obj,diffuse_1,directional_mean_fill,fill_mean_clamp_a0,0.554701,0.546324,0.008377,-0.009685,0.029092,inconclusive,1000,0xD1A70000D1A70000,ray,9142,paired
e2e4_2026_09_02,intel-sponza.obj,diffuse_1,directional_mean_fill,fill_mean_clamp_a05,0.554701,0.548139,0.006562,-0.003056,0.016054,inconclusive,1000,0xD1A70000D1A70000,ray,9142,paired
e2e4_2026_09_02,intel-sponza.obj,diffuse_1,directional_mean_fill,fill_mean_clamp_a2,0.554701,0.568303,-0.013601,-0.026723,-0.000560,no,1000,0xD1A70000D1A70000,ray,9142,paired
e2e4_2026_09_02,intel-sponza.obj,diffuse_1,fill_mean_clamp_a0,surface_density,0.546324,0.540645,0.005679,-0.020405,0.030560,inconclusive,1000,0xD1A70000D1A70000,ray,9142,paired
e2e4_2026_09_02,intel-sponza.obj,incoherent,directional,box_projected_ratio,0.587463,0.490006,0.097457,0.096543,0.098467,yes,1000,0xD1A70000D1A70000,ray,524288,paired
e2e4_2026_09_02,intel-sponza.obj,incoherent,directional,surface_density,0.587463,0.594666,-0.007203,-0.007769,-0.006592,no,1000,0xD1A70000D1A70000,ray,524288,paired
e2e4_2026_09_02,intel-sponza.obj,incoherent,directional,primitive_count,0.587463,0.529529,0.057934,0.056899,0.059026,yes,1000,0xD1A70000D1A70000,ray,524288,paired
e2e4_2026_09_02,intel-sponza.obj,incoherent,directional_min_fill,directional_mean_fill,0.557816,0.603842,-0.046025,-0.046871,-0.045112,no,1000,0xD1A70000D1A70000,ray,524288,paired
e2e4_2026_09_02,intel-sponza.obj,incoherent,directional_min_fill,box_projected_ratio,0.557816,0.490006,0.067810,0.066802,0.068804,yes,1000,0xD1A70000D1A70000,ray,524288,paired
e2e4_2026_09_02,intel-sponza.obj,incoherent,directional_mean_fill,box_projected_ratio,0.603842,0.490006,0.113836,0.112795,0.114900,yes,1000,0xD1A70000D1A70000,ray,524288,paired
e2e4_2026_09_02,intel-sponza.obj,incoherent,directional_mean_fill,directional,0.603842,0.587463,0.016379,0.015709,0.017020,yes,1000,0xD1A70000D1A70000,ray,524288,paired
e2e4_2026_09_02,intel-sponza.obj,incoherent,directional_min_fill,directional,0.557816,0.587463,-0.029647,-0.030473,-0.028799,no,1000,0xD1A70000D1A70000,ray,524288,paired
e2e4_2026_09_02,intel-sponza.obj,incoherent,directional_mean_fill,surface_density,0.603842,0.594666,0.009176,0.008436,0.009897,yes,1000,0xD1A70000D1A70000,ray,524288,paired
e2e4_2026_09_02,intel-sponza.obj,incoherent,directional_mean_fill,primitive_count,0.603842,0.529529,0.074313,0.073148,0.075486,yes,1000,0xD1A70000D1A70000,ray,524288,paired
e2e4_2026_09_02,intel-sponza.obj,incoherent,directional_min_fill,surface_density,0.557816,0.594666,-0.036850,-0.037721,-0.035987,no,1000,0xD1A70000D1A70000,ray,524288,paired
e2e4_2026_09_02,intel-sponza.obj,incoherent,directional_mean_fill,fill_mean_exp,0.603842,0.591767,0.012075,0.011554,0.012617,yes,1000,0xD1A70000D1A70000,ray,524288,paired
e2e4_2026_09_02,intel-sponza.obj,incoherent,fill_min_clamp,directional_min_fill,0.563629,0.557816,0.005813,0.005381,0.006231,yes,1000,0xD1A70000D1A70000,ray,524288,paired
e2e4_2026_09_02,intel-sponza.obj,incoherent,directional_mean_fill,fill_min_clamp,0.603842,0.563629,0.040213,0.039358,0.041065,yes,1000,0xD1A70000D1A70000,ray,524288,paired
e2e4_2026_09_02,intel-sponza.obj,incoherent,fill_mean_exp,directional_min_fill,0.591767,0.557816,0.033950,0.033256,0.034643,yes,1000,0xD1A70000D1A70000,ray,524288,paired
e2e4_2026_09_02,intel-sponza.obj,incoherent,fill_mean_clamp_a0,fill_min_clamp,0.578171,0.563629,0.014542,0.013866,0.015269,yes,1000,0xD1A70000D1A70000,ray,524288,paired
e2e4_2026_09_02,intel-sponza.obj,incoherent,directional_mean_fill,fill_mean_clamp_a0,0.603842,0.578171,0.025671,0.025011,0.026322,yes,1000,0xD1A70000D1A70000,ray,524288,paired
e2e4_2026_09_02,intel-sponza.obj,incoherent,directional_mean_fill,fill_mean_clamp_a05,0.603842,0.599148,0.004694,0.004303,0.005114,yes,1000,0xD1A70000D1A70000,ray,524288,paired
e2e4_2026_09_02,intel-sponza.obj,incoherent,directional_mean_fill,fill_mean_clamp_a2,0.603842,0.601690,0.002152,0.001799,0.002545,yes,1000,0xD1A70000D1A70000,ray,524288,paired
e2e4_2026_09_02,intel-sponza.obj,incoherent,fill_mean_clamp_a0,surface_density,0.578171,0.594666,-0.016495,-0.017403,-0.015652,no,1000,0xD1A70000D1A70000,ray,524288,paired
e2e4_2026_09_02,intel-sponza.obj,primary,directional,box_projected_ratio,0.592508,0.598748,-0.006240,-0.016980,0.004562,inconclusive,1000,0xD1A70000D1A70000,ray,16384,paired
e2e4_2026_09_02,intel-sponza.obj,primary,directional,surface_density,0.592508,0.638079,-0.045572,-0.053285,-0.037211,no,1000,0xD1A70000D1A70000,ray,16384,paired
e2e4_2026_09_02,intel-sponza.obj,primary,directional,primitive_count,0.592508,0.485782,0.106725,0.093954,0.119800,yes,1000,0xD1A70000D1A70000,ray,16384,paired
e2e4_2026_09_02,intel-sponza.obj,primary,directional_min_fill,directional_mean_fill,0.510502,0.577379,-0.066877,-0.076786,-0.056793,no,1000,0xD1A70000D1A70000,ray,16384,paired
e2e4_2026_09_02,intel-sponza.obj,primary,directional_min_fill,box_projected_ratio,0.510502,0.598748,-0.088246,-0.100825,-0.074775,no,1000,0xD1A70000D1A70000,ray,16384,paired
e2e4_2026_09_02,intel-sponza.obj,primary,directional_mean_fill,box_projected_ratio,0.577379,0.598748,-0.021369,-0.032891,-0.008722,no,1000,0xD1A70000D1A70000,ray,16384,paired
e2e4_2026_09_02,intel-sponza.obj,primary,directional_mean_fill,directional,0.577379,0.592508,-0.015128,-0.022987,-0.007133,no,1000,0xD1A70000D1A70000,ray,16384,paired
e2e4_2026_09_02,intel-sponza.obj,primary,directional_min_fill,directional,0.510502,0.592508,-0.082006,-0.091294,-0.072696,no,1000,0xD1A70000D1A70000,ray,16384,paired
e2e4_2026_09_02,intel-sponza.obj,primary,directional_mean_fill,surface_density,0.577379,0.638079,-0.060700,-0.069259,-0.051516,no,1000,0xD1A70000D1A70000,ray,16384,paired
e2e4_2026_09_02,intel-sponza.obj,primary,directional_mean_fill,primitive_count,0.577379,0.485782,0.091597,0.078400,0.105452,yes,1000,0xD1A70000D1A70000,ray,16384,paired
e2e4_2026_09_02,intel-sponza.obj,primary,directional_min_fill,surface_density,0.510502,0.638079,-0.127578,-0.137057,-0.116846,no,1000,0xD1A70000D1A70000,ray,16384,paired
e2e4_2026_09_02,intel-sponza.obj,primary,directional_mean_fill,fill_mean_exp,0.577379,0.587170,-0.009791,-0.016243,-0.003265,no,1000,0xD1A70000D1A70000,ray,16384,paired
e2e4_2026_09_02,intel-sponza.obj,primary,fill_min_clamp,directional_min_fill,0.502087,0.510502,-0.008415,-0.013324,-0.003616,no,1000,0xD1A70000D1A70000,ray,16384,paired
e2e4_2026_09_02,intel-sponza.obj,primary,directional_mean_fill,fill_min_clamp,0.577379,0.502087,0.075292,0.065562,0.085659,yes,1000,0xD1A70000D1A70000,ray,16384,paired
e2e4_2026_09_02,intel-sponza.obj,primary,fill_mean_exp,directional_min_fill,0.587170,0.510502,0.076668,0.069279,0.084868,yes,1000,0xD1A70000D1A70000,ray,16384,paired
e2e4_2026_09_02,intel-sponza.obj,primary,fill_mean_clamp_a0,fill_min_clamp,0.560585,0.502087,0.058498,0.050604,0.067249,yes,1000,0xD1A70000D1A70000,ray,16384,paired
e2e4_2026_09_02,intel-sponza.obj,primary,directional_mean_fill,fill_mean_clamp_a0,0.577379,0.560585,0.016794,0.009966,0.023974,yes,1000,0xD1A70000D1A70000,ray,16384,paired
e2e4_2026_09_02,intel-sponza.obj,primary,directional_mean_fill,fill_mean_clamp_a05,0.577379,0.567816,0.009563,0.005494,0.013773,yes,1000,0xD1A70000D1A70000,ray,16384,paired
e2e4_2026_09_02,intel-sponza.obj,primary,directional_mean_fill,fill_mean_clamp_a2,0.577379,0.578577,-0.001198,-0.005424,0.002740,inconclusive,1000,0xD1A70000D1A70000,ray,16384,paired
e2e4_2026_09_02,intel-sponza.obj,primary,fill_mean_clamp_a0,surface_density,0.560585,0.638079,-0.077495,-0.088181,-0.067633,no,1000,0xD1A70000D1A70000,ray,16384,paired
e2e4_2026_09_02,intel-sponza.obj,shadow_ao,directional,box_projected_ratio,0.539818,0.461943,0.077875,0.073164,0.082126,yes,1000,0xD1A70000D1A70000,ray,585026,paired
e2e4_2026_09_02,intel-sponza.obj,shadow_ao,directional,surface_density,0.539818,0.536983,0.002835,-0.000221,0.006058,inconclusive,1000,0xD1A70000D1A70000,ray,585026,paired
